Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Si (BPR),Si (Wacker),Solar Azimuth Angle,Panel Tilt,Panel Azimuth Angle                
2020,1,1,0,0,20.5,0,0,0,1,0,0,0,0,100,-9999,0,0,111.0284386,nan,nan                
2020,1,1,1,0,21.4,0,0,0,3,0,0,0,0,96.35,-9999,0,0,113.1624274,nan,nan                
2020,1,1,2,0,23.3,75,324,140,1,75,324,0,140,90.51,78.39,1.030636721,1.029791008,116.6692778,38.70837859,90                
2020,1,1,3,0,25.7,110,608,361,3,139,1,0,139,82.83,65.6,1.042443163,1.036230458,121.9920245,61.85562558,90                
2020,1,1,4,0,27.6,124,753,569,1,124,753,0,569,74.45,53.69,1.007738702,1.004387108,130.0559239,46.16449511,90                
2020,1,1,5,0,28.9,132,822,729,1,132,822,0,729,68.87,43.47,1.002572705,0.999173027,142.458475,30.0084763,90                
2020,1,1,6,0,29.7,126,874,829,3,70,0,0,70,65.49,36.41,1.109982067,1.099866557,161.0240535,13.48760344,90                
2020,1,1,7,0,30.1,135,866,848,3,383,56,0,429,63.54,34.54,1.028286804,1.022650961,184.6828502,3.216468689,270                
2020,1,1,8,0,30.2,136,846,797,7,317,474,1,688,62.48,38.62,1.007571822,1.003653081,206.9103896,19.87506817,270                
2020,1,1,9,0,29.8,157,745,664,3,160,0,0,161,63.42,47.11,1.07755695,1.070559309,222.9692666,36.27153484,270                
2020,1,1,10,0,28.7,135,669,488,3,227,306,0,389,68,58.11,1.02142667,1.017017804,233.4771545,52.25392503,270                
2020,1,1,11,0,27.3,99,529,276,3,113,404,0,248,75.09,70.44,1.029453975,1.025695941,240.3433186,67.75433445,270                
2020,1,1,12,0,25.3,45,187,66,3,40,178,3,60,86.57,83.42,1.031878585,1.0263874,244.8947946,19.00748264,270                
2020,1,1,13,0,24.4,0,0,0,3,0,0,0,0,91.64,-9999,0,0,247.8492486,nan,nan                
2020,1,1,14,0,23.7,0,0,0,7,0,0,0,0,95.69,-9999,0,0,249.505985,nan,nan                
2020,1,1,15,0,23.3,0,0,0,3,0,0,0,0,97.53,-9999,0,0,249.8014157,nan,nan                
2020,1,1,16,0,22.9,0,0,0,4,0,0,0,0,99.13,-9999,0,0,248.1087099,nan,nan                
2020,1,1,17,0,22.5,0,0,0,3,0,0,0,0,100,-9999,0,0,242.2409815,nan,nan                
2020,1,1,18,0,22.1,0,0,0,0,0,0,0,0,100,-9999,0,0,223.4082153,nan,nan                
2020,1,1,19,0,21.9,0,0,0,0,0,0,0,0,100,-9999,0,0,167.2953877,nan,nan                
2020,1,1,20,0,21.8,0,0,0,3,0,0,0,0,100,-9999,0,0,126.6599215,nan,nan                
2020,1,1,21,0,21.7,0,0,0,0,0,0,0,0,100,-9999,0,0,114.7436969,nan,nan                
2020,1,1,22,0,21.6,0,0,0,3,0,0,0,0,100,-9999,0,0,110.9087852,nan,nan                
2020,1,1,23,0,21.5,0,0,0,3,0,0,0,0,100,-9999,0,0,110.0947211,nan,nan                
2020,1,2,0,0,21.4,0,0,0,3,0,0,0,0,100,-9999,0,0,110.9335628,nan,nan                
2020,1,2,1,0,22.4,0,0,0,3,0,0,0,0,98.55,-9999,0,0,113.0613656,nan,nan                
2020,1,2,2,0,24.5,66,398,145,0,66,398,0,145,89.61,78.47,1.030570606,1.02914821,116.5565441,38.265108,90                
2020,1,2,3,0,26.6,99,655,369,3,178,112,0,224,79.47,65.66,1.027116169,1.02211142,121.8601565,61.9600121,90                
2020,1,2,4,0,28.2,117,778,577,0,117,778,0,577,71.75,53.73,1.006172422,1.002986812,129.8951793,46.27541077,90                
2020,1,2,5,0,29.4,128,840,737,0,128,840,0,737,66.62,43.48,1.000919427,0.997770807,142.2608215,30.12697947,90                
2020,1,2,6,0,30.1,154,834,825,3,379,63,0,430,63.67,36.37,1.027436412,1.022082583,160.8039021,13.61380537,90                
2020,1,2,7,0,30.3,161,833,847,0,161,833,0,847,62.62,34.45,0.998983536,0.995966643,184.5040244,3.08358439,270                
2020,1,2,8,0,30.3,161,809,794,0,161,809,0,794,62.32,38.49,1.000670821,0.997612051,206.821584,19.73743881,270                
2020,1,2,9,0,30,138,790,677,3,329,109,0,404,62.98,46.98,1.026917532,1.021874064,222.9497053,36.13150028,270                
2020,1,2,10,0,29.3,128,694,496,4,234,268,0,376,65.19,57.98,1.028318362,1.023902425,233.495261,52.11367889,270                
2020,1,2,11,0,27.9,104,516,278,3,115,400,0,249,71.79,70.3,1.031690555,1.028039579,240.3821108,67.61566745,270                
2020,1,2,12,0,25.8,46,193,68,0,46,193,0,68,83.68,83.3,1.030337966,1.030739261,244.94767,19.3942163,270                
2020,1,2,13,0,24.7,0,0,0,0,0,0,0,0,89.33,-9999,0,0,247.9152957,nan,nan                
2020,1,2,14,0,24,0,0,0,0,0,0,0,0,93.28,-9999,0,0,249.5884145,nan,nan                
2020,1,2,15,0,23.4,0,0,0,0,0,0,0,0,96.47,-9999,0,0,249.9086977,nan,nan                
2020,1,2,16,0,22.8,0,0,0,0,0,0,0,0,99.74,-9999,0,0,248.2602082,nan,nan                
2020,1,2,17,0,22.4,0,0,0,0,0,0,0,0,100,-9999,0,0,242.4868802,nan,nan                
2020,1,2,18,0,22,0,0,0,0,0,0,0,0,100,-9999,0,0,223.8918876,nan,nan                
2020,1,2,19,0,21.7,0,0,0,0,0,0,0,0,100,-9999,0,0,167.7107641,nan,nan                
2020,1,2,20,0,21.5,0,0,0,0,0,0,0,0,100,-9999,0,0,126.6086425,nan,nan                
2020,1,2,21,0,21.4,0,0,0,0,0,0,0,0,100,-9999,0,0,114.640142,nan,nan                
2020,1,2,22,0,21.2,0,0,0,0,0,0,0,0,100,-9999,0,0,110.8047752,nan,nan                
