Hours,,Electricity consumption/ kWh,,Renewable energy generation/kWh,Abandoned electricity,Electricity purchase/ kWh,Cost of purchase/hour,improving%
1,0.845,5.07,0.93708,5.62248,0.55248,0,0,2%
2,1.865,11.19,0.55856,3.35136,0,7.83864,274.3524,4%
3,2.715,16.29,0.14407,0.86442,0,15.42558,1234.0464,60%
4,1.465,8.79,0.04944,0.29664,0,8.49336,297.2676,10%
5,1.85,11.1,0.19083,1.14498,0,9.95502,348.4257,70%
6,1.015,6.09,0.04912,0.29472,0,5.79528,57.9528,60%
7,0.54,3.24,0.04895,0.2937,0,2.9463,29.463,67%
8,0.305,1.83,0.02581,0.15486,0,1.67514,16.7514,40%
9,0.615,3.69,0.26965,1.6179,0,2.0721,20.721,42%
10,0.67,4.02,0.93744,5.62464,1.60464,0,0,80%
11,0.925,5.55,1.01391,6.08346,0.53346,0,0,83%
12,0.305,1.83,1.32147,7.92882,6.09882,0,0,70%
13,0.305,1.83,1.99117,11.94702,10.11702,0,0,85%
14,1.555,9.33,1.6135,9.681,0.351,0,0,70%
15,1.055,6.33,1.41095,8.4657,2.1357,0,0,50%
16,0.77,4.62,1.20531,7.23186,2.61186,0,0,45%
17,1.555,9.33,1.14306,6.85836,0,2.47164,24.7164,53%
18,2.3025,13.815,1.16885,7.0131,0,6.8019,68.019,70%
19,1.7,10.2,0.8892,5.3352,0,4.8648,48.648,80%
20,2.16,12.96,0.55033,3.30198,0,9.65802,338.0307,13%
21,2.1575,12.945,0.38689,2.32134,0,10.62366,371.8281,46%
22,4.6425,27.855,0.4408,2.6448,0,25.2102,3025.224,10%
23,1.04,6.24,0.44008,2.64048,0,3.59952,35.9952,9%
24,1.555,9.33,0.66939,4.01634,0,5.31366,53.1366,12%
,,,,,,,,
,33.9125,,17.45586,,,,,
