Hours,Electricity consumption/ kWh,Renewable energy generation/kWh,Abandoned electricity,Electricity purchase/kWh,improving%,Cost of purchase Iraqi Dinar (ID) /hour
1,5.07,4.02,0,1.05,95%,0
2,11.19,9.45,0,1.74,78%,78.3864
3,16.29,15.615,0,0.675,96%,154.2558
4,8.79,8.27,0,0.52,94%,84.9336
5,11.1,8.5,0,2.6,74%,99.5502
6,6.09,4.99,0,1.1,81%,57.9528
7,3.24,2.98,0,0.26,91%,29.463
8,1.83,1.385,0,0.445,73%,16.7514
9,3.69,3.17,0,0.52,75%,20.721
10,4.02,3.99,0,0.03,100%,0
11,5.55,5.55,0,0,100%,0
12,1.83,1.795,0,0.035,100%,0
13,1.83,1.785,0,0.045,100%,0
14,9.33,9.325,0,0.005,100%,0
15,6.33,6.295,0,0.035,100%,0
16,4.62,4.595,0,0.025,100%,0
17,9.33,8.995,0,0.335,86%,24.7164
18,13.815,13.35,0,0.465,93%,68.019
19,10.2,9.95,0,0.25,95%,48.648
20,12.96,11.94,0,1.02,89%,96.5802
21,12.945,11.39,0,1.555,85%,106.2366
22,27.855,26.995,0,0.86,97%,252.102
23,6.24,5.995,0,0.245,93%,35.9952
24,9.33,8.899,0,0.431,92%,53.1366
