Hours,Electricity consumption/ kWh,Renewable energy generation/kWh,Abandoned electricity,Electricity purchase/kWh,improving%,Cost of purchase Iraqi Dinar (ID) /hour
1,5.07,0.0225,5.0475,5.0475,0%,50.475
2,11.19,2.7175,0,8.4725,8%,296.5375
3,16.29,13.27,0,3.02,80%,30.2
4,8.79,0.9728,0,7.8172,8%,273.602
5,11.1,9.615,0,1.485,85%,14.85
6,6.09,5.079,0,1.011,83%,10.11
7,3.24,2.275,0,0.965,67%,9.65
8,1.83,1.0225,0,0.8075,52%,8.075
9,3.69,2.28,0,1.41,32%,14.1
10,4.02,0.2115,3.8085,3.8085,84%,38.085
11,5.55,5.35,0.2,0.2,90%,2
12,1.83,1.1,0.73,0.73,65%,7.3
13,1.83,1.495,0.335,0.335,84%,3.35
14,9.33,8.827,0.503,0.503,76%,5.03
15,6.33,5.215,1.115,1.115,46%,11.15
16,4.62,3.93,0.69,0.69,67%,6.9
17,9.33,8.1725,0,1.1575,53%,11.575
18,13.815,12.835,0,0.98,86%,9.8
19,10.2,8.948,0,1.252,74%,12.52
20,12.96,4.827,0,8.133,16%,284.655
21,12.945,8.2849,0,4.6601,56%,46.601
22,27.855,2.835,0,25.02,1%,3002.4
23,6.24,1.992,0,4.248,18%,42.48
24,9.33,0.077,0,9.253,74%,92.53
