Datetime,Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Solar Azimuth Angle,Panel Tilt,Panel Azimuth Angle                ,Cloud_Effect_Ratio,DNI_DHI_Ratio,Temperature_Category
2020-01-01 00:00:00,2020,1,1,0,0,20.5,0,0,0,1,0,0,0,0,100.0,,111.0284386,,nan                ,,,Cool
2020-01-01 01:00:00,2020,1,1,1,0,21.4,0,0,0,3,0,0,0,0,96.35,,113.1624274,,nan                ,,,Cool
2020-01-01 02:00:00,2020,1,1,2,0,23.3,75,324,140,1,75,324,0,140,90.51,78.39,116.6692778,38.70837859,90                ,1.0,4.32,Cool
2020-01-01 03:00:00,2020,1,1,3,0,25.7,110,608,361,3,139,1,0,139,82.83,65.6,121.9920245,61.85562558,90                ,0.3850415512465374,0.007194244604316547,Warm
2020-01-01 04:00:00,2020,1,1,4,0,27.6,124,753,569,1,124,753,0,569,74.45,53.69,130.0559239,46.16449511,90                ,1.0,6.07258064516129,Warm
2020-01-01 05:00:00,2020,1,1,5,0,28.9,132,822,729,1,132,822,0,729,68.87,43.47,142.458475,30.0084763,90                ,1.0,6.2272727272727275,Warm
2020-01-01 06:00:00,2020,1,1,6,0,29.7,126,874,829,3,70,0,0,70,65.49,36.41,161.0240535,13.48760344,90                ,0.08443908323281062,0.0,Warm
2020-01-01 07:00:00,2020,1,1,7,0,30.1,135,866,848,3,383,56,0,429,63.54,34.54,184.6828502,3.216468689,270                ,0.5058962264150944,0.1462140992167102,Warm
2020-01-01 08:00:00,2020,1,1,8,0,30.2,136,846,797,7,317,474,1,688,62.48,38.62,206.9103896,19.87506817,270                ,0.863237139272271,1.4952681388012619,Warm
2020-01-01 09:00:00,2020,1,1,9,0,29.8,157,745,664,3,160,0,0,161,63.42,47.11,222.9692666,36.27153484,270                ,0.24246987951807228,0.0,Warm
2020-01-01 10:00:00,2020,1,1,10,0,28.7,135,669,488,3,227,306,0,389,68.0,58.11,233.4771545,52.25392503,270                ,0.7971311475409836,1.3480176211453745,Warm
2020-01-01 11:00:00,2020,1,1,11,0,27.3,99,529,276,3,113,404,0,248,75.09,70.44,240.3433186,67.75433445,270                ,0.8985507246376812,3.575221238938053,Warm
2020-01-01 12:00:00,2020,1,1,12,0,25.3,45,187,66,3,40,178,3,60,86.57,83.42,244.8947946,19.00748264,270                ,0.9090909090909091,4.45,Warm
2020-01-01 13:00:00,2020,1,1,13,0,24.4,0,0,0,3,0,0,0,0,91.64,,247.8492486,,nan                ,,,Cool
2020-01-01 14:00:00,2020,1,1,14,0,23.7,0,0,0,7,0,0,0,0,95.69,,249.505985,,nan                ,,,Cool
2020-01-01 15:00:00,2020,1,1,15,0,23.3,0,0,0,3,0,0,0,0,97.53,,249.8014157,,nan                ,,,Cool
2020-01-01 16:00:00,2020,1,1,16,0,22.9,0,0,0,4,0,0,0,0,99.13,,248.1087099,,nan                ,,,Cool
2020-01-01 17:00:00,2020,1,1,17,0,22.5,0,0,0,3,0,0,0,0,100.0,,242.2409815,,nan                ,,,Cool
2020-01-01 18:00:00,2020,1,1,18,0,22.1,0,0,0,0,0,0,0,0,100.0,,223.4082153,,nan                ,,,Cool
2020-01-01 19:00:00,2020,1,1,19,0,21.9,0,0,0,0,0,0,0,0,100.0,,167.2953877,,nan                ,,,Cool
2020-01-01 20:00:00,2020,1,1,20,0,21.8,0,0,0,3,0,0,0,0,100.0,,126.6599215,,nan                ,,,Cool
2020-01-01 21:00:00,2020,1,1,21,0,21.7,0,0,0,0,0,0,0,0,100.0,,114.7436969,,nan                ,,,Cool
2020-01-01 22:00:00,2020,1,1,22,0,21.6,0,0,0,3,0,0,0,0,100.0,,110.9087852,,nan                ,,,Cool
2020-01-01 23:00:00,2020,1,1,23,0,21.5,0,0,0,3,0,0,0,0,100.0,,110.0947211,,nan                ,,,Cool
2020-01-02 00:00:00,2020,1,2,0,0,21.4,0,0,0,3,0,0,0,0,100.0,,110.9335628,,nan                ,,,Cool
